rank,year,title,keyword,author.no,affl.no,max_dist(m)
232,2014,Modeling emergent patterns of dynamic desert ecosystems,Patchiness; Positive feedback; Self-organization; Semiarid landscape ecology; Spatially explicit model; Vegetation patterns,7,7,17412473.9193254
233,2015,Modeling the spatial and temporal dynamics of foraging movements of humpback whales (Megaptera novaeangliae) in the Western Antarctic Peninsula,Antarctic krill; Foraging; Humpback whale; Product kernel; Satellite telemetry; Space-time utilization distribution; Western Antarctic Peninsula,6,6,17412372.9078173
234,2010,Estimating parameters of a forest ecosystem C model with measurements of stocks and fluxes as joint constraints,Carbon cycle; Data-model fusion; Eddy covariance; Howland Forest; Inverse modeling; Parameter estimation; Uncertainty,12,7,17412372.9078173
235,1998,Stages and spatial scales of recruitment limitation in Southern Appalachian forests,Dispersal; Establishment; Fecundity; Forest dynamics; Negative binomial; Recruitment; Seed rain; Southern Appalachians,3,2,17410820.9494622
236,1999,Seed Dispersal Near And Far: Patterns Across Temperate And Tropical Forests,Bayesian analysis; Dispersal kernel; Exponential model; Forest dynamics; Gamma; Gaussian model; Migration; Seed dispersal; Seed shadow; Student's t,5,3,17410820.9494622
237,2008,Changing the Gap Dynamics Paradigm: Vegetative Regeneration Control on Forest Response to Disturbance,Bayesian statistics; Damaged trees; Demography; Individual effects; Piedmont; Recruitment limitation; Southern Appalachians; Sprouting; Succession; USA; Vegetative reproduction,2,3,17410820.9494622
238,2008,Evaluating the Sources of Potential Migrant Species: Implications Under Climate Change,Climate change; Climate envelope; Migration; Seedling recruitment; Source of migrant species; Survival; Transplant experiment; Tree species,3,5,17410820.9494622
239,1996,Extrapolating leaf CO2 exchange to the canopy: a generalized model of forest photosynthesis compared with measurements by eddy correlation,Foliar nitrogen concentration; Gross carbon exchange; Model; Photosynthesis; Whole forest canopy,3,3,17410820.9494622
240,2006,"The contributions of land-use change, CO2 fertilization, and climate variability to the Eastern US carbon sink",Climate variability; CO2 fertilization; CO2 fluxes; Disturbance history; Eastern United States; Ecosystem demography (ED) model; Forest harvesting; Land-use history; Regional-scale uptake; Terrestrial carbon sink,4,2,17410820.9494622
241,2004,"Effects of chronic N additions on tissue chemistry, photosynthetic capacity, and carbon sequestration potential of a red pine (Pinus resinosa Ait.) stand in the NE United States",Chlorophyll; Needle longevity; Nitrogen; NPP; Photosynthesis; Pinus resinosa,7,4,17410820.9494622
242,2006,Woody Debris Contribution to the Carbon Budget of Selectively Logged and Maturing Mid-latitude Forests,Coarse woody debris; Fine woody debris; Infrared gas analyzer; Northern hardwood forest; Respiration,7,4,17410820.9494622
243,2012,Variation in foliar nitrogen and albedo in response to nitrogen fertilization and elevated CO2,Albedo; Free air CO2 enrichment; Leaf structure; Nitrogen; Nitrogen fertilization,9,5,17410820.9494622
244,2004,Temporal patterns in seedling establishment on pocket gopher disturbances,Demography; Germination; Gopher mound; Seed bank; Survival analysis,3,3,17409031.7069097
245,2014,Ebullitive methane emissions from oxygenated wetland streams,Carbon dioxide; Ebullition; Methane; Rivers; Upscaling; Wetlands,6,4,17409031.7069097
246,2018,Plant diversity and density predict belowground diversity and function in an early successional alpine ecosystem,bacteria; biodiversity; C and N; DNA sequencing; environmental gradient; fungi; microbial community; talus,10,4,17404896.4587473
247,2011,Quantification of terrestrial ecosystem carbon dynamics in the conterminous United States combining a process-based biogeochemical model and MODIS and AmeriFlux data,NA,8,7,17402918.3740555
248,2012,"Invasions: the trail behind, the path ahead, and a test of a disturbing idea",Community susceptibility to invasion; Disturbance; Evolution in introduced species; Grazing; Invasion ecology; Traits of successful aliens,21,17,17401118.1313963
249,2018,Predator size-structure and species identity determine cascading effects in a coastal ecosystem,biodiversity; ecosystem functioning; metabolic theory; multifunctionality; salt marsh; trophic cascade,2,2,17395570.4043523
250,2007,Cross-scale patterns in shrub thicket dynamics in the Virginia barrier complex,Barrier island; Coastal vegetation; Hyperspectral remote sensing; Sea level rise; Shrub expansion,8,4,17394945.4657526
251,2011,21st century climate change threatens mountain flora unequally across Europe,Alpine plants; Europe vegetation; Global change; Impact assessment; Species distribution models,28,25,17367310.1454992
252,2014,Latent heat exchange in the boreal and arctic biomes,Eddy-covariance; Evapotranspiration; Latent heat; Phenology; Stomatal resistance,27,17,17367310.1454992
253,2016,Multiscale modeling of spring phenology across Deciduous Forests in the Eastern United States,MODIS; Deciduous forest; Phenology models; Species composition; Spring phenology,3,2,17365334.1626518
254,2012,Ecological impacts of a widespread frost event following early spring leaf-out,Carbon balance; Elevational gradient; Frost event; Northern hardwood forest; Phenology,7,5,17365334.1626518
255,2010,Above the Din but in the fray: environmental scientists as effective advocates,NA,4,4,17365334.1626518
256,2014,The role of data assimilation in predictive ecology,Carbon cycle; Data Assimilation; Ecological forecasting; Fire; Fishery; Infectious disease; Social-ecological systems; Special Feature,7,7,17365334.1626518
257,2011,"Rights, governance and conservation of biological diversity",NA,3,4,17365334.1626518
258,2016,A new seasonal-deciduous spring phenology submodel in the Community Land Model 4.5: impacts on carbon and water cycling under future climate scenarios,carbon cycle; climate change; Community Land Model; ecosystem services; PhenoCam; phenology; water,5,2,17365334.1626518
259,2014,Tracking forest phenology and seasonal physiology using digital repeat photography: a critical assessment,Carbon cycling; Deciduous forest phenology; Digital repeat photography; Green chromatic coordinate; Green-down; Ice storm; MODIS; Near-surface remote sensing; PhenoCam,11,8,17365334.1626518
260,2017,Increasing the effectiveness of participatory scenario development through codesign,Boundary spanning; Land-use change; Participatory research; Scenarios; Stakeholder engagement; Transdisciplinary,6,5,17365334.1626518
261,2017,Ecosystem fluxes of hydrogen in a mid-latitude forest driven by soil microorganisms and plants,atmosphere; carbon cycle; flux; hydrogen; microbe; phenology; snow; soil,9,7,17365334.1626518
262,2006,Effects of wildfire and permafrost on soil organic matter and soil climate in interior Alaska,Black spruce; Boreal; Carbon; Combustion; Fire; Fire emission; Fractal analysis; Ground fuel; Moss cover; OIrganic mat; Organic soil; Peat; permafrost; Soil; Surface temperature,4,3,17363747.3355504
263,2017,Harvesting biofuel grasslands has mixed effects on natural enemy communities and no effects on biocontrol services,beneficial insect biodiversity; biocontrol; bioenergy; biofuel; ecosystem function; ecosystem services; landscape composition; perennial systems; prairies,6,5,17363747.3355504
264,2015,Long-term growth-increment chronologies reveal diverse influences of climate forcing on freshwater and forest biota in the Pacific Northwest,Dendrochronology; Freshwater mussels; River discharge; Sclerochronology; Winter climate,5,5,17358515.1328832
265,2013,Seasonal plasticity in the temperature sensitivity of microbial activity in three temperate forest soils,Decomposition; Harvard Forest; Snowmelt; Soil enzymes; Soil organic matter; Thermal acclimation,4,2,17358073.209654
266,2016,codyn: An R package of community dynamics metrics,biodiversity analysis; cyclic shift; long-term data; mean rank shift; r package; rank clock; synchrony; temporal analysis; turnover; variance ratio,9,8,17353482.6553292
267,2013,Persistent reduced ecosystem respiration after insect disturbance in high elevation forests,Carbon balance; Disturbance; Ecosystem respiration; Gross primary productivity; Insect outbreak; Lodgepole pine; Mountain pine beetle; Mountain West; Subalpine forest,9,8,17353482.6553292
268,2008,Festering food: Chytridiomycete pathogen reduces quality of Daphnia host as a food resource,Daphnia pulicaria; Disease ecology; Fatty acid; Food quality; Food web; Nitrogen; Parasitism; Phosphorus; Polycaryum laevc; Stoichiometry; Zooplankton,5,4,17353482.6553292
269,2008,Dam invaders: impoundments facilitate biological invasions into freshwaters,NA,3,3,17353482.6553292
270,2009,Interactions among invaders: community and ecosystem effects of multiple invasive species in an experimental aquatic system,Bellamya; Biological invasion; Ecosystem change; Multiple invaders; Orconectes,4,3,17353482.6553292
271,2010,Distribution and community-level effects of the Chinese mystery snail (Bellamya chinensis) in northern Wisconsin lakes,Bellamya japonica; Biogeography; Cipangopaludina; Gastropoda; Viviparidae,5,4,17353482.6553292
272,2016,Controls on methane concentrations and fluxes in streams draining human-dominated landscapes,Agriculture; Climate; Methane; Nutrients; Sediments; Streams; Urbanization,2,2,17353482.6553292
273,2016,Agricultural landscape simplification reduces natural pest control: A quantitative synthesis,Arthropods intraguild predation; Biological control; Crop protection; Ecosystem services; Landscape management; Spatial stability,12,12,17335125.0990705
274,2014,Coqui frog populations are negatively affected by canopy opening but not detritus deposition following an experimental hurricane in a tropical rainforest,Detritus addition; Eleutherodactylus coqui; Forest canopy gap; Frog density dynamics; Hurricane disturbance; Tropical rainforest windstorm,3,4,17332281.5643296
275,2010,"Tree species effects on ecosystem water-use efficiency in a high-elevation, subalpine forest",Biodiversity; Conifers; Coupled biogeochemical cycles; Hydrology; Mountain,7,4,17330918.0356852
276,2017,A comparative assessment of SNP and microsatellite markers for assigning parentage in a socially monogamous bird,microsatellite; paternity; RNA-seq; single-nucleotide polymorphism; social monogamy; transcriptome,6,5,17330918.0356852
277,2015,The promise and peril of intensive-site-based ecological research: insights from the Hubbard Brook ecosystem study,Ecosystem; Experimental manipulation; Historic legacy; Hubbard Brook Experimental Forest New Hampshire USA; Intensive sites; Long-term studies; Monitoring; Scaling up; Simulation models,13,10,17326214.7779503
278,2014,Loss of a large grazer impacts savanna grassland plant communities similarly in North America and South Africa,Disturbance; Fire; Grazing; Plant community richness; Species diversity,14,8,17320908.0861302
279,2014,Responses to fire differ between South African and North American grassland communities,Community ecology; Divergence; Fire frequency; Konza Prairie Biological Station; Mesic grassland; Nitrogen; Nutrient addition; Richness; Tallgrass prairie; Ukulinga Research Farm,13,8,17320908.0861302
280,2018,Asymmetric responses of primary productivity to altered precipitation simulated by ecosystem models across three long-term grassland sites,NA,42,26,17320424.7400043
281,2013,Temporal variability in soil microbial communities across land-use types,16S rRNA; Biogeochemistry; Land use; Pyrosequencing; Soil moisture; Temporal diversity,5,5,17314376.1327095
282,2011,Scaling an instantaneous model of tundra NEE to the Arctic landscape,arctic carbon exchange; CO2 flux; modeling; NEE; tundra; upscaling,7,4,17299412.4038331
283,2016,Terrestrial carbon balance in a drier world: the effects of water availability in southwestern North America,Carbon dioxide; Climate; Ecosystem; Evapotranspiration; Net ecosystem exchange; Net ecosystem production; Photosynthesis; Productivity; Respiration; Semiarid; Water,14,11,17287244.1093925
284,2002,Changes in soil microbial community structure and function in an alpine dry meadow following spring snow melt,NA,3,2,17287244.1093925
285,2018,Guidelines and considerations for designing field experiments simulating precipitation extremes in forest ecosystems,climate extremes; drought; ecological thresholds; savannas; shrublands; woodlands,24,15,17285798.0590154
286,2009,Long-term patterns of mass loss during the decomposition of leaf and fine root litter: an intersite comparison,Decay; Decomposition; Fine roots; Leaves; Litter; Long-term study; Rate constant; Stable fraction,31,29,17275912.2647838
287,2005,Do individual plant species show predictable responses to nitrogen addition across multiple experiments?,NA,8,8,17274748.9058975
288,2015,Influence of physiological phenology on the seasonal pattern of ecosystem respiration in deciduous forests,Deciduous forests; Ecosystem respiration; Eddy covariance; FLUXNET La Thuile database; Land-atmosphere fluxes; Phenology,20,14,17264684.9241669
289,2005,Structural and functional responses of a subtropical forest to 10 years of hurricanes and droughts,Decomposition; Disturbance; Drought; Fine roots; Hurricane; Land use legacy; Litterfall; Luquillo Experimental Forest; Productivity; Puerto Rico; Recovery; Tropics,8,5,17258039.9646549
290,2014,Convergent Surface Water Distributions in U.S. Cities,cities; convergence; hydrography; surface water; urban streams; urban water bodies; urbanization,17,15,17257665.6075266
291,2016,Convergence of microclimate in residential landscapes across diverse cities in the United States,Humidity; Microclimate; Residential lawn; Urban heat island (UHI); Urban homogenization; Urban protected area,21,19,17257665.6075266
292,2016,Plant nitrogen concentration and isotopic composition in residential lawns across seven US cities,Ecological convergence; Natural abundance nitrogen stable isotopes; Nitrogen cycling; Urban ecology,10,9,17257665.6075266
293,2018,A multi-city comparison of front and backyard differences in plant species diversity and nitrogen cycling in residential landscapes,Land management; Plant diversity; Residential landscapes; Urban ecology; Urban soils,22,17,17257665.6075266
294,2018,Sediment chemistry of urban stormwater ponds and controls on denitrification,contaminants; denitrification; metals; nitrogen; nitrous oxide; nitrous oxide reductase; stormwater ponds; urban biogeochemistry,12,8,17257665.6075266
295,2016,"Ecosystem services in managing residential landscapes: priorities, value dimensions, and cross-regional patterns",Ecosystem services; Human values; Land management; Lawns; Residential landscapes; Urban sustainability,20,16,17257665.6075266
296,2014,The implications of microbial and substrate limitation for the fates of carbon in different organic soil horizon types of boreal forest ecosystems: A mechanistically based model analysis,NA,7,6,17250939.7152251
297,2015,Changes in canopy structure and ant assemblages affect soil ecosystem variables as a foundation species declines,Adelges tsugae; Ecosystem dynamics; Formicidae; Foundation species; Harvard Forest; Indirect effects; Nitrogen; Soil respiration; Tsuga canadensis,4,6,17238523.2092334
298,2013,"Survivors, not invaders, control forest development following simulated hurricane",1938 hurricane; Acer rubrum; Betula lenta; Disturbance; Harvard Forest; Hurricane; LTER; Massachusetts; New England; Quercus rubra; USA,4,4,17227532.8323318
299,2011,A complex metacommunity structure for gastropods along an elevational gradient,Clementsian distributions; Coherence; Environmental gradients; Gastropoda; Puerto Rico; Rain forest; Range boundary clumping; Range turnover,6,4,17227454.1800718
300,2014,Experimental decoupling of canopy opening and debris addition on tropical gastropod populations and communities,Disturbance; Hurricane; Luquillo Mountains; Moisture; Snails; Temperature,3,2,17227454.1800718
301,2007,Phyllostomid bats of lowland Amazonia: effects of habitat alteration on abundance,Amazonian rain forest; Anthropogenic change; Conservation; Deforestation; Habitat use; Lowland; Neotropical bat biodiversity; Population dynamics; Seasonal dynamics,9,7,17227454.1800718
302,2011,Long-term dynamics of tropical walking sticks in response to multiple large-scale and intense disturbances,Abundance; Hurricane; Phasmatidae; Resilience; Time-lag,3,2,17227454.1800718
303,2005,"Taxon-dependent scaling: beetles, birds, and vegetation at four North American grassland sites",Canonical correspondence analysis; Colorado; Hierarchical-variance partitioning; Kansas; Prairie; Species-environment relationships,3,4,17209154.2368295
304,2018,Quantifying effects of biodiversity on ecosystem functioning across times and places,Biodiversity; complementarity effect; ecosystem functioning; insurance effect; overyielding; selection effect,8,6,17193978.3423946
305,2018,Constraints on the functional trait space of aquatic invertebrates in bromeliads,aquatic invertebrates; ecological strategies; functional diversity; functional trait space; niche hypervolume,26,22,17177582.8503261
306,2014,Global relationship of wood and leaf litter decomposability: the role of functional traits within and across plant organs,Coarse woody debris; Decomposition; Forest ecology; Hierarchical Bayesian models; Leaf economics spectrum; Litter; Meta-analysis; Plant functional traits; Wood traits,16,16,17172638.5863284
307,2016,Species origin affects the rate of response to inter-annual growing season precipitation and nutrient addition in four Australian native grasslands,Bayesian hierarchical models; Nutrient Network; Precipitation; Primary productivity; Rate change; Species richness,11,11,17166852.4575175
308,2014,Quantifying the effects of elevated CO2 on water budgets by combining FACE data with an ecohydrological model,Elevated atmospheric CO2; FACE experiments; Hydrological impacts; Water and carbon coupling,5,4,17166852.4575175
309,2001,Flood Disturbance Regimes Influence Rainbow Trout Invasion Success Among Five Holarctic Regions,Abiotic habitat filters; Fish recruitment; Floods and flood disturbance; Habitat templet; Holarctic region; Hydrologic regime; Indicators of Hydrologic Alteration; Invasion biology; Oncorhynchus mykiss; Rainbow trout; Regional analysis; Salmonids,5,5,17152892.2116719
310,2012,"An assessment of the carbon balance of arctic tundra: Comparisons among observations, process models, and atmospheric inversions",NA,13,11,17140289.8961661
311,2014,Thermal acclimation of shoot respiration in an Arctic woody plant species subjected to 22 years of warming and altered nutrient supply,Arctic tundra; Betula nana; Nitrogen; Phosphorus; Stems,7,5,17130597.3617124
312,2016,"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape",Ecosystem services; Forest management; Landscape analysis; Trade-offs,10,6,17128542.4293192
313,2013,Differential physiological responses to environmental change promote woody shrub expansion,Betula nana nana; Carbon gain efficiency; Eriophorum vaginatum; Kok effect; Photosynthesis; Respiration; Rubus chamaemorus; Tundra shrub encroachment,8,8,17118165.5331918
314,2008,Reef structure regulates small-scale spatial variation in coral bleaching,Bleaching; Coral; Environmental stress; Habitat structure; Hydrodynamics; Light; Sedimentation; Temperature,5,5,17116695.1131563
315,2012,Larger female fish contribute disproportionately more to self-replenishment.,Amphiprion chrysopterus; Fecundity; Maternal effects; Maternal size; Population replenishment; Self-recruitment,6,5,17116695.1131563
316,2012,Incorporating clonal growth form clarifies the role of plant height in response to nitrogen addition,Clonal growth; Competition; Grassland; Nitrogen addition; Productivity,8,8,17107666.918281
317,2015,Global environmental change and the nature of aboveground net primary productivity responses: Insights from long-term experiments,Aboveground productivity; Hierarchical response framework (HRF); Long-Term Ecological Research (LTER) Network; Nutrient addition; Precipitation manipulation,12,11,17107666.918281
318,2015,Global environmental change and the nature of aboveground net primary productivity responses: insights from long-term experiments,Aboveground productivity; Hierarchical response framework (HRF); Long-Term Ecological Research (LTER) Network; Nutrient addition; Precipitation manipulation,12,11,17107666.918281
319,2011,Patterns of trait convergence and divergence among native and exotic species in herbaceous plant communities are not modified by nitrogen enrichment,Community; Determinants of plant community diversity and structure; Fertilization; Functional traits; Invasion; Limiting similarity; Multivariate statistics; Nitrogen; Permanova; Synthesis,8,8,17107666.918281
320,2006,New opportunities in ecological sensing using wireless sensor networks,NA,12,5,17099502.8595963
321,2014,"Planktonic biomass size spectra: an emergent property of size-dependent physiological rates, food web dynamics, and nutrient regimes",Microzooplankton; Nutrient - phytoplankton-zooplankton models; Phytoplankton; Planktonic size spectra,3,3,17097114.0177192
322,2016,Reinforcing loose foundation stones in trait-based plant ecology,Comparative ecology; Environmental gradients; Functional ecology; Intraspecific variation,6,8,17090828.184234
323,2018,The roles of stochasticity and biotic interactions in the spatial patterning of plant species in alpine communities,alpine plant communities; biotic interactions; community composition; competition; diversity; facilitation; species spatial patterning; stochasticity,2,2,17085472.5302539
324,2016,Resilience and stability of a pelagic marine ecosystem,Abrupt transitions; Biodiversity; California Current; Climate; Functional complementarity; Regime shifts,6,2,17078084.7950757
325,2018,Community trait distribution across environmental gradients,Activity traits; California current; community structure; feeding mode; multi-trophic interactions; plankton; resource acquisition; size distribution; upwelling,5,2,17078084.7950757
326,2018,Towards physiologically meaningful water-use efficiency estimates from eddy covariance data,aerodynamic conductance; canopy gradients; eddy covariance; energy imbalance; intrinsic water-use efficiency; Penman–Monteith equation; slope parameter; surface conductance,12,12,17071906.4477752
327,2004,Spatial variation in Streptomyces genetic composition and diversity in a prairie soil,NA,5,4,17061912.1787103
328,2002,A monitoring protocol to assess tidal restoration of salt marshes on local and regional scales,Assessment; Monitoring protocols; Salt marsh; Tidal restoration; Tidal restrictions,6,4,17037418.0142768
329,1997,"The microbial plankton of Lake Fryxell, southern Victoria Land, Antarctica during the summers of 1992 and 1994",NA,6,6,17036862.0695825
330,2015,Does relative abundance modify multiple predator effects?,Biodiversity; Complementarity; Dominance; Ecosystem functioning; Evenness; IGP; Intraguild predation; MPE; Multiple predator effect; Salt marsh,4,5,17028544.5814755
331,2008,The production and emission of nitrous oxide from headwater streams in the Midwestern United States,Agriculture; Denitrification; EF5-g; Emissions; IPCC; Nitrification; Nitrousoxide; Streams,4,4,17020083.2869111
332,2003,"Landscape controls on organic and inorganic nitrogen leaching across an alpine/subalpine ecotone, Green Lakes Valley, Colorado Front Range",Biogeochemistry; Colorado Front Range; DOC; DON; Nitrogen; Snow; Surface water chemistry,3,2,17015334.7575786
333,2016,Silica uptake and release in live and decaying biomass in a northern hardwood forest,Coarse woody debris; Decomposition; Deforestation; Silica,7,5,17014031.7851517
334,2017,Identifying overlap between humpback whale foraging grounds and the Antarctic krill fishery,Bayesian movement models; CCAMLR; Cetaceans; Fisheries management; Gerlache Strait,5,3,17004617.2772169
335,2017,"Modeling long-term changes in tundra carbon balance following wildfire, climate change and potential nutrient addition",climate warming; CO2 fertilization; fire resilience; nitrogen deposition; nutrient limitation,6,4,17004246.3223682
336,2016,C–N–P interactions control climate driven changes in regional patterns of C storage on the North Slope of Alaska,C balance; C-nutrient interaction; Climate warming; Nutrient budget; Nutrient limitation,7,5,17004246.3223682
337,2004,A stable isotope tracer study of nitrogen uptake and transformation in an old-growth forest stream,Food web; Nitrification; Nitrogen cycle; Old-growth forest; Retention; Riparian; Stable isotope; Stream ecosystem; Tracer addition,5,6,17004246.3223682
338,2012,Inferring community assembly mechanisms from functional diversity patterns: the importance of multiple assembly processes,Abiotic filtering; Alpine; Competition; Determinants of plant community diversity and structure; Equalizing fitness processes; Facilitation; Niwot Ridge; Phylogenetic diversity; Plant functional traits,2,3,17003107.3043769
339,2000,Controls over carbon storage and turnover in high-latitude soils,Arctic; Boreal; Carbon; Decomposition; Global change; Soil,4,5,17003107.3043769
340,2017,Seed-associated fungi in the alpine tundra: Both mutualists and pathogens could impact plant recruitment,Alpine tundra; Alternaria; Cladosporium; Mutualists; Pathogens; Seed-borne fungi,6,4,17002737.9182592
341,2011,Treated versus new traps: does chronic application of disinfectant to live traps reduce trappability of rodents?,NA,3,2,17002264.3160097
342,2014,Anticipating changes in variability of grassland production due to increases in interannual precipitation variability,Aboveground net primary production; Lag effects; Legacies; Precipitation variability; Primary production,2,2,16995172.6027879
343,2009,"Intercomparison, interpretation, and assessment of spring phenology in North America estimated from remote sensing for 1982-2006",Bloom; Budburst; Climate change; Flower; Growing season; Land surface phenology; Seasonality,21,19,16995172.6027879
344,2017,CO2 exchange and evapotranspiration across dryland ecosystems of southwestern North America,climate; moderate resolution imaging spectroradiometer; net ecosystem exchange; photosynthesis; remote sensing; respiration; semiarid; water,21,14,16990251.690792
345,2018,Spatial heterogeneity in species composition constrains plant community responses to herbivory and fertilisation,Beta diversity; diversity; fertilisation; grassland; nitrogen; Nutrient Network (NutNet); spatial heterogeneity; species composition; temporal turnover,31,28,16988454.7768934
346,2009,Adaptive monitoring: a new paradigm for long-term research and monitoring,NA,2,2,16976136.8333858
347,2011,Direct Measurement Versus Surrogate Indicator Species for Evaluating Environmental Change and Biodiversity Loss,biodiversity conservation; direct ecological measurement; ecological transferability; environmental and biodiversity surrogates; environmental monitoring; the indicator species approach,2,2,16976136.8333858
348,2017,A global trait-based approach to estimate leaf nitrogen functional allocation from observations,allocation; leaf; nitrogen; photosynthesis; plants; respiration; Rubisco; traits,7,7,16966029.4351764
349,2015,Plant diversity drives soil microbial biomass carbon in grasslands irrespective of global environmental change factors,Biodiversity loss; Carbon dynamics; Drought; Long-term experiments; Microbial activity; Plant biomass,19,14,16959160.9323064
350,2013,Oligopeptides Represent a Preferred Source of Organic N Uptake: A Global Phenomenon?,alanine; DON; enantiomers; low molecular weight; oligopeptide; terrestrial nitrogen cycling,11,8,16958049.9776459
351,2013,"Symbiotic specificity, association patterns, and function determine community responses to global changes: Defining critical research areas for coral-Symbiodinium symbioses.",Community viability analysis; Interaction networks; Mutualistic communities; Scleractinia; Simulation models; Symbiont diversity; Symbiosis; Zooxanthellae,5,5,16956490.0214425
352,2012,Arctic warming on two continents has consistent negative effects on lichen diversity and mixed effects on bryophyte diversity,Bryophyte; Climate change; Diversity; Gradient; Lichen; Subarctic; Tundra; Vascular plant; Warming experiment,9,7,16953761.4831313
353,2004,Effects of nutrient enrichment on the decomposition of wood and associated microbial activity in streams,Breakdown; Fungal biomass; Nitrogen; Phosphorus; Respiration,5,5,16939356.89969
354,2003,Species and microsite effects on litter decomposition in a Puerto Rican landslide,Lower montane wet forest; LTER; Luquillo Experimental Forest; Nutrient immobilization,2,2,16934740.2066076
355,2016,Seasonality and partitioning of root allocation to rhizosphere soils in a midlatitude forest,Belowground allocation; C budget; Fraxinus americana; Harvard forest; Midlatitude forest; Minirhizotron; Phenology; Quercus rubra; Rhizosphere; Root growth; Tsuga canadensis,2,2,16932402.3480337
356,2008,Plant and microbial controls on nitrogen retention and loss in a humid tropical forest,15N; Denitrification; DNRA; Gross mineralization and nitrification; Nitrogen sinks; Nitrous oxide; Plant-microbial uptake,5,4,16932402.3480337
357,2015,BHPMF - a hierarchical Bayesian approach to gap-filling and trait prediction for macroecology and functional biogeography,Bayesian hierarchical model; Gap-filling; Imputation; Machine learning; Matrix factorization; PFT; Plant functional trait; Sparse matrix; Spatial extrapolation; TRY,18,14,16931658.2990645
358,2016,Antidepressants in stream ecosystems: influence of selective serotonin reuptake inhibitors (SSRIs) on algal production and insect emergence,Aquatic insects; Ecosystem function; Emergence; Pharmaceuticals; SSRIs,5,3,16925647.1467698
359,2011,Shifts in coastal Antarctic marine microbial communities during and after melt water-related surface stratification,16S rRNA gene; 18S rRNA gene; Antarctic Peninsula; Bacterioplankton; DGGE; Sequencing,4,3,16925286.5790354
360,2004,Plant water relations and photosynthesis during and after drought in a Chihuahuan desert arroyo,Channel-flow; Gas-exchange; Phreatophytic; Plant water potential; Rainfall; Riparian,3,5,16923055.8858077
361,2006,"Comparison of the sensitivity of landscape-fire-succession models to variation in terrain, fuel pattern, climate and weather",EMBYR; FIRESCAPE; LAMOS; LANDSUM; Model comparison; SEM-LAND; Simulation modelling,10,11,16916378.4119744
362,2015,Spatiotemporal patterns of tundra fires: late-Quaternary charcoal records from Alaska,NA,7,8,16912783.5515214
363,2016,Nutrient additions cause divergence of tallgrass prairie plant communities resulting in loss of ecosystem stability,ANPP; convergence; dispersion; grassland; heterogeneity; nitrogen; phosphorus; plant population and community dynamics; productivity; stability; variability,6,6,16908258.176545
364,2009,Biological Nitrogen Fixation in Two Tropical Forests: Ecosystem-Level Patterns and Effects of Nitrogen Fertilization,C:N; Epiphyll; Forest floor; Lichen; Moss; Nitrogen addition; Soil,3,3,16908258.176545
365,2010,The Response of Heterotrophic Activity and Carbon Cycling to Nitrogen Additions and Warming in Two Tropical Soils,C turnover; Microbial enzymes; Oxidative activity; Q10; Radiocarbon; Roots; Soil respiration,4,3,16908258.176545
366,2010,Opportunities and challenges for managing nitrogen in urban stormwater: A review and synthesis,Denitrification; Nitrate; Nitrogen; NPDES regulations; Stormwater; Uptake,8,8,16900405.3441655
367,2007,Ecosystem services and dis-services to agriculture,Agriculture; Ecology; Ecosystem services; Environmental economics; Environmental policy; Hydrology; Pollination; Soil fertility,5,4,16897176.6716277
368,2018,Synthetic ozone deposition and stomatal uptake at flux tower sites,NA,8,7,16897176.6716277
369,1998,Influence of the benthos on growth of planktonic estuarine bacteria,Bacteria; Bacterial growth; Dissolved organic matter; DOC; DON; Estuarine sediments,5,2,16895351.4931032
370,2009,Salt marsh sediment bacteria: their distribution and response to external nutrient inputs,Bacterial community composition; Denaturing gradient gel electrophoresis; Eutrophication; Salt marsh; Wetlands,4,4,16895351.4931032
371,2007,Net emissions of CH4 and CO2 in Alaska: Implications for the region's greenhouse gas budget,Alaska (USA); Global warming potential; Greenhouse gas budget; Methane consumption and emissions; Methanogenesis; Methanotrophy,8,4,16895351.4931032
372,2012,Microbial diversity in arctic freshwaters is structured by inoculation of microbes from soils,Archaea; Bacteria; Eukarya; landscape; metacommunity; MIRADA-LTERS,3,4,16895351.4931032
373,2007,Biogeography of bacterioplankton in lakes and streams of an Arctic tundra catchment,Arctic; Bacteria; Bacterial production; Bacterioplankton; Biogeography; Denaturing gradient gel electrophoresis; DGGE; Diversity; Metacommunity,4,3,16895351.4931032
374,1997,Predicting gross primary productivity in terrestrial ecosystems,Canopy model; Carbon cycle; Ecosystem models; Gross primary productivity; Harvard Forest; Leaf area index; Model validation; OTTER project; Toolik Lake,6,3,16895351.4931032
375,2004,Effects of long-term nitrogen fertilization on the uptake kinetics of atmospheric methane in temperate forest soils,Methane consumption; Methane kinetics; Nitrogen fertilization; Temperate forest soils,4,2,16895351.4931032
376,2004,Forest structure and carbon dynamics in Amazonian tropical rain forests,Carbon; Dendrometry; Forest dynamics; Growth rate; Tropical forest,12,6,16895351.4931032
377,2008,Shrub encroachment in North American grasslands: shifts in growth form dominance rapidly alters control of ecosystem carbon inputs,Above ground net primary production; Carbon; Climate change; Grasslands; Growth form; LAI; MAP; Shrub lands,11,9,16894324.8060059
